
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. testeISP, 64, 49, 35, 0, 0, 1, 0, 2, 2
.	. Dev_Restart_after_ISP_blk, 64, 49, 35, 0, 0, 1, 0, 0, 0
.	.	. Ram_intferface, 64, 49, 35, 0, 0, 0, 0, 0, 0
.	.	. TAMPER_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TAMPER_C0_TAMPER_C0_0_TAMPER, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. TPSRAM_C0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. TPSRAM_C0_TPSRAM_C0_0_TPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. testeISP_sb, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. testeISP_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. testeISP_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. testeISP_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
